id,name,type
199,贝壳类弃物,干垃圾
200,贝壳肉,湿垃圾
201,背包,可回收垃圾
202,背心,可回收垃圾
203,被单,可回收垃圾
204,被套,可回收垃圾
205,被污染的报纸,干垃圾
206,被污染的旧报纸,干垃圾
207,被污染的旧衣服,干垃圾
208,被污染的垃圾袋,干垃圾
209,被污染的衣服,干垃圾
210,被污染的纸,干垃圾
211,被污染衣服,干垃圾
212,被芯,可回收垃圾
213,被油污的报纸,干垃圾
214,被油污染的旧报纸,干垃圾
215,被油污染的纸,干垃圾
216,被油污污染的旧报纸,干垃圾
217,被油污污染的纸盒,干垃圾
218,被油污污染过的报纸,干垃圾
219,被子,可回收垃圾
220,本子,可回收垃圾
221,绷带,干垃圾
222,鼻毛,干垃圾
223,鼻屎,干垃圾
224,鼻涕纸,干垃圾
225,鼻贴,干垃圾
226,笔,干垃圾
227,笔袋,干垃圾
228,笔盖,干垃圾
229,笔杆,干垃圾
230,笔盒,可回收垃圾
231,笔记本,可回收垃圾
232,笔记本电池,有害垃圾
233,笔记本电脑,可回收垃圾
234,笔记本电脑电池,有害垃圾
235,笔记本电源,可回收垃圾
236,笔记本纸,可回收垃圾
237,笔记型计算机,可回收垃圾
238,笔壳,干垃圾
239,笔囊,干垃圾
240,笔套,干垃圾
241,笔屑,干垃圾
242,笔芯,干垃圾
243,必胜客纸盒,干垃圾
244,碧根果,干垃圾
245,碧根果壳,干垃圾
246,碧根果肉,湿垃圾
247,碧然德过滤芯,干垃圾
248,壁纸,干垃圾
249,避孕套,干垃圾
250,避孕套包装,干垃圾
251,避孕套包装盒,干垃圾
252,避孕药,有害垃圾
253,编织袋,干垃圾
254,鞭炮,干垃圾
255,扁豆,湿垃圾
256,变形金刚,可回收垃圾
257,变质的食物,湿垃圾
258,变质食品,湿垃圾
259,便,宠物粪便
260,便便,宠物粪便
261,便利贴,干垃圾
262,便签,干垃圾
263,便签纸,干垃圾
264,便条贴,干垃圾
265,便条纸,干垃圾
266,便纸,干垃圾
267,标签,干垃圾
268,标签卡,干垃圾
269,标签色带,干垃圾
270,标签纸,干垃圾
271,别针,干垃圾
272,瘪掉的篮球,可回收垃圾
273,槟榔,湿垃圾
274,槟榔壳,湿垃圾
275,槟榔皮,湿垃圾
276,冰棒棍,干垃圾
277,冰棒皮,干垃圾
278,冰棒外包装,干垃圾
279,冰宝贴,干垃圾
280,冰袋,干垃圾
281,冰柜,可回收垃圾
282,冰棍棒,干垃圾
283,冰红茶利乐包装,可回收垃圾
284,冰激淋,湿垃圾
285,冰激凌,湿垃圾
286,冰激凌木棒,干垃圾
287,冰淇淋,湿垃圾
288,冰淇淋包装袋,干垃圾
289,冰淇淋盒,可回收垃圾
290,冰淇淋纸,干垃圾
291,冰淇淋纸杯,干垃圾
292,冰糖,湿垃圾
293,冰贴,干垃圾
294,冰箱,可回收垃圾
295,冰箱冰袋,干垃圾
296,冰箱贴,干垃圾
297,丙烯,干垃圾
298,丙烯颜料,干垃圾
299,饼干,湿垃圾
300,饼干包装袋,干垃圾
301,饼干袋,干垃圾
302,饼干罐,可回收垃圾
303,饼干盒,可回收垃圾
304,饼干塑料盒,干垃圾
305,饼干铁盒,可回收垃圾
306,饼干渣,湿垃圾
307,饼干纸盒,可回收垃圾
308,病人换下来的纸尿裤,干垃圾
309,玻璃,可回收垃圾
310,玻璃摆件,可回收垃圾
311,玻璃杯,可回收垃圾
312,玻璃杯子,可回收垃圾
313,玻璃餐盒,可回收垃圾
314,玻璃餐具,可回收垃圾
315,玻璃尺,可回收垃圾
316,玻璃灯管,有害垃圾
317,玻璃灯罩,可回收垃圾
318,玻璃电子秤,可回收垃圾
319,玻璃饭盒,可回收垃圾
320,玻璃放大镜,可回收垃圾
321,玻璃罐,可回收垃圾
322,玻璃锅,可回收垃圾
323,玻璃锅盖,可回收垃圾
324,玻璃壶,可回收垃圾
325,玻璃花瓶,可回收垃圾
326,玻璃胶,干垃圾
327,玻璃胶带,干垃圾
328,玻璃酒杯,可回收垃圾
329,玻璃酒瓶,可回收垃圾
330,玻璃蜡烛杯,可回收垃圾
331,玻璃密封容器,可回收垃圾
332,玻璃奶瓶,可回收垃圾
333,玻璃盘,可回收垃圾
334,玻璃盘子,可回收垃圾
335,玻璃盆,可回收垃圾
336,玻璃啤酒瓶,可回收垃圾
337,玻璃片,可回收垃圾
338,玻璃瓶,可回收垃圾
339,玻璃瓶罐,可回收垃圾
340,玻璃器皿,可回收垃圾
341,玻璃水杯,可回收垃圾
342,玻璃碎片,可回收垃圾
343,玻璃碎瓶,可回收垃圾
344,玻璃调料瓶,可回收垃圾
345,玻璃碗,可回收垃圾
346,玻璃小药瓶,有害垃圾
347,玻璃烟缸,可回收垃圾
348,玻璃烟灰缸,可回收垃圾
349,玻璃药瓶,有害垃圾
350,玻璃油瓶,可回收垃圾
351,玻璃渣,可回收垃圾
352,玻璃纸,干垃圾
353,玻璃制品,可回收垃圾
354,玻璃制容器,可回收垃圾
355,菠菜,湿垃圾
356,菠萝,湿垃圾
357,菠萝包,湿垃圾
358,菠萝干,湿垃圾
359,菠萝密肉,湿垃圾
360,菠萝蜜,湿垃圾
361,菠萝蜜核,干垃圾
362,菠萝蜜壳,干垃圾
363,菠萝蜜肉,湿垃圾
364,菠萝派,湿垃圾
365,菠萝皮,湿垃圾
366,菠萝头,湿垃圾
367,铂金纸,干垃圾
368,捕蚊灯,可回收垃圾
369,不干胶带,干垃圾
370,不干胶纸,干垃圾
371,不含汞铅电池,干垃圾
372,不锈钢,可回收垃圾
373,不锈钢杯,可回收垃圾
374,不锈钢杯子,可回收垃圾
375,不锈钢尺,可回收垃圾
376,不锈钢尺子,可回收垃圾
377,不锈钢刀,可回收垃圾
378,不锈钢垃圾桶,可回收垃圾
379,不锈钢晾衣杆,可回收垃圾
380,不锈钢勺子,可回收垃圾
381,不锈钢水杯,可回收垃圾
382,不粘锅,可回收垃圾
383,布,可回收垃圾
384,布包,可回收垃圾
385,布笔袋,可回收垃圾
386,布袋,可回收垃圾
387,布袋子,可回收垃圾
388,布丁,湿垃圾
389,布类,可回收垃圾
390,布料,可回收垃圾
391,布面粉袋,可回收垃圾
392,布偶,可回收垃圾
393,布条,可回收垃圾
394,布娃娃,可回收垃圾
395,布玩偶,可回收垃圾
396,布鞋,可回收垃圾
397,布鞋套,可回收垃圾
398,布艺窗帘,可回收垃圾
399,布艺沙发,大件垃圾
400,步步高学习机,可回收垃圾
401,擦鼻涕的纸,干垃圾
402,擦鼻涕纸,干垃圾
403,擦鼻涕纸巾,干垃圾
404,擦过鼻涕的餐巾纸,干垃圾
405,擦过鼻涕的纸,干垃圾
406,擦过鼻涕的纸巾,干垃圾
407,擦过菜汁的抽纸,干垃圾
408,擦过的纸巾,干垃圾
409,擦过屁股的卫生纸,干垃圾
410,擦汗的纸巾,干垃圾
411,擦屁股的纸,干垃圾
412,擦屁股的纸巾,干垃圾
413,擦屎纸,干垃圾
414,擦拭过的餐巾纸,干垃圾
415,擦手的面巾纸,干垃圾
416,擦手巾,干垃圾
417,擦手纸,干垃圾
418,擦完嘴的纸,干垃圾
419,擦碗布,干垃圾
420,擦眼镜布,干垃圾
421,擦眼泪的纸,干垃圾
422,擦油纸,干垃圾
423,擦桌子的报纸,干垃圾
424,彩笔,干垃圾
425,彩电,可回收垃圾
426,彩泥,干垃圾
427,彩票,干垃圾
428,彩色笔,干垃圾
429,彩色玻璃,可回收垃圾
430,彩色打印纸,可回收垃圾
431,彩色回形针,干垃圾
432,彩色铅笔,干垃圾
433,彩色塑料瓶,可回收垃圾
434,彩色塑料纸,干垃圾
435,彩色相片,有害垃圾
436,彩色相片纸,有害垃圾
437,彩色相纸,有害垃圾
438,彩色颜料,干垃圾
439,彩色照片,有害垃圾
440,彩纸,干垃圾
441,彩妆,干垃圾
442,菜,湿垃圾
443,菜板,干垃圾
444,菜刀,可回收垃圾
445,菜饭,湿垃圾
446,菜饭盒,干垃圾
447,菜根,湿垃圾
448,菜根菜头,湿垃圾
449,菜梗,湿垃圾
450,菜梗菜叶,湿垃圾
451,菜花,湿垃圾
452,菜椒,湿垃圾
453,菜皮,湿垃圾
454,菜肴,湿垃圾
455,菜叶,湿垃圾
456,菜叶子,湿垃圾
457,菜渣,湿垃圾
458,餐盒,干垃圾
459,餐巾,干垃圾
460,餐巾纸,干垃圾
461,餐巾纸包装,干垃圾
462,餐巾纸袋子,干垃圾
463,餐巾纸盒,可回收垃圾
464,餐巾紙,干垃圾
465,餐厅纸,干垃圾
466,餐饮外卖盒,干垃圾
467,餐纸,干垃圾
468,残羹,湿垃圾
469,残花,湿垃圾
470,残旧衣服,可回收垃圾
471,残渣剩饭,湿垃圾
472,残枝,湿垃圾
473,残枝落叶,湿垃圾
474,蚕豆,湿垃圾
475,蚕豆壳,湿垃圾
476,蚕丝,可回收垃圾
477,仓鼠垫沙,干垃圾
478,苍蝇,湿垃圾
479,苍蝇拍,干垃圾
480,藏红花,湿垃圾
481,草,湿垃圾
482,草本植物,湿垃圾
483,草稿本,可回收垃圾
484,草稿纸,可回收垃圾
485,草帽,干垃圾
486,草莓,湿垃圾
487,草莓叶,湿垃圾
488,草木灰,干垃圾
489,草皮,湿垃圾
490,草席,干垃圾
491,草药,湿垃圾
492,草纸,干垃圾
493,草纸卫生纸,干垃圾
494,厕所,大件垃圾
495,厕所的卫生纸,干垃圾
496,厕所手纸,干垃圾
497,厕所用纸,干垃圾
498,厕所纸,干垃圾
499,厕所纸巾,干垃圾
500,厕纸,干垃圾
501,测试卷子,可回收垃圾
502,测血糖计,干垃圾
503,测血糖试纸,干垃圾
504,测血糖针,干垃圾
505,叉烧,湿垃圾
506,叉烧酥,湿垃圾
507,叉子,可回收垃圾
508,插排,可回收垃圾
509,插头,可回收垃圾
510,插线板,可回收垃圾
511,插座,可回收垃圾
512,茶,湿垃圾
513,茶包,干垃圾
514,茶包袋,干垃圾
515,茶饼,湿垃圾
516,茶袋,干垃圾
517,茶盒,干垃圾
518,茶壶,干垃圾
519,茶壶碎片,干垃圾
520,茶几,大件垃圾
521,茶碗,干垃圾
522,茶叶,湿垃圾
523,茶叶包,干垃圾
524,茶叶包装袋,干垃圾
525,茶叶袋,干垃圾
526,茶叶蛋,湿垃圾
527,茶叶蛋壳,湿垃圾
528,茶叶罐,可回收垃圾
529,茶叶盒,可回收垃圾
530,茶叶渣,湿垃圾
531,茶叶渣子,湿垃圾
532,茶渣,湿垃圾
533,搽鼻涕纸,干垃圾
534,菖蒲叶,干垃圾
535,常温牛奶盒,可回收垃圾
536,常温牛奶盒子,可回收垃圾
537,唱片,干垃圾
538,超能胶,干垃圾
539,超市塑料袋,干垃圾
540,超市小票,干垃圾
541,超市装肉盒,干垃圾
542,潮湿塑料袋,干垃圾
543,炒板栗,湿垃圾
544,炒菜铁锅,可回收垃圾
545,炒花生壳,湿垃圾
546,炒花生米,湿垃圾
547,炒面,湿垃圾
548,车,大件垃圾
549,车厘子,湿垃圾
550,车厘子核,湿垃圾
551,车辆,大件垃圾
552,车票,干垃圾
553,车钥匙,干垃圾
554,尘土,干垃圾
555,陈皮,湿垃圾
556,衬衫,可回收垃圾
557,衬衣,可回收垃圾
558,蛏子,湿垃圾
559,蛏子壳,干垃圾
560,蛏子肉,湿垃圾
561,成分复杂的制品,干垃圾
562,成人尿布,干垃圾
563,成人用品,干垃圾
564,橙,湿垃圾
565,橙皮,湿垃圾
566,橙子,湿垃圾
567,橙子皮,湿垃圾
568,吃菜剩下的鱼骨头,湿垃圾
569,吃过的棒棒糖,干垃圾
570,吃过的大骨头,干垃圾
571,吃过的方便面,湿垃圾
572,吃过的甘蔗,湿垃圾
573,吃过的口香糖,干垃圾
574,吃过的奇趣蛋,干垃圾
575,吃过的外卖盒,干垃圾
576,吃过的一次性饭盒,干垃圾
577,吃剩的快餐,湿垃圾
578,吃剩的快餐盒,干垃圾
579,吃剩下的牡蛎壳,干垃圾
580,吃剩下的葡萄杆,湿垃圾
581,吃剩下的提子杆,湿垃圾
582,吃完的泡面盒,干垃圾
583,尺,干垃圾
584,尺子,可回收垃圾
585,齿轮,可回收垃圾
586,翅尖,湿垃圾
587,冲泡饮料,湿垃圾
588,充电 牙刷,可回收垃圾
589,充电宝,可回收垃圾
590,充电插头,可回收垃圾
591,充电电池,有害垃圾
592,充电器,可回收垃圾
593,充电热水袋,可回收垃圾
594,充电式暖宝宝,可回收垃圾
595,充电线,可回收垃圾
596,充电牙刷,可回收垃圾
597,充电装置,可回收垃圾
598,充气袋,干垃圾
599,充气沙发,可回收垃圾
600,充气娃,可回收垃圾
601,充气娃娃,可回收垃圾
602,虫,湿垃圾
603,虫子,湿垃圾
604,宠物,湿垃圾
605,宠物便便,宠物粪便
606,宠物大便,宠物粪便
607,宠物粪,宠物粪便
